Date,Open,High,Low,Close,Volume
2025-08-19,5275.0,5575.0,5200.0,5525.0,260942000
2025-08-20,5525.0,5550.0,5450.0,5525.0,74517000
2025-08-21,5525.0,5650.0,5500.0,5625.0,76746200
2025-08-22,5650.0,5775.0,5600.0,5700.0,73126900
2025-08-25,5750.0,5775.0,5675.0,5750.0,60737900
2025-08-26,5725.0,5725.0,5475.0,5625.0,79136200
2025-08-27,5650.0,5725.0,5500.0,5500.0,33172600
2025-08-28,5525.0,5650.0,5525.0,5575.0,18032900
2025-08-29,5450.0,5625.0,5425.0,5500.0,62869000
2025-09-01,5200.0,5500.0,5200.0,5450.0,67904000
2025-09-02,5500.0,5550.0,5400.0,5475.0,21623300
2025-09-03,5525.0,5650.0,5450.0,5500.0,45471600
2025-09-04,5500.0,5500.0,5400.0,5500.0,26987400
2025-09-08,5600.0,5600.0,5350.0,5425.0,57081800
2025-09-09,5400.0,5600.0,5350.0,5525.0,49240100
2025-09-10,5525.0,5525.0,5400.0,5475.0,22964700
2025-09-11,5475.0,5600.0,5450.0,5550.0,28151500
2025-09-12,5625.0,5700.0,5600.0,5675.0,30653500
2025-09-15,5675.0,5700.0,5600.0,5625.0,26368000
2025-09-16,5650.0,5675.0,5600.0,5650.0,15987900
2025-09-17,5650.0,5700.0,5600.0,5700.0,23879700
2025-09-18,5700.0,5725.0,5550.0,5575.0,27261300
2025-09-19,5575.0,5750.0,5575.0,5725.0,52162200
2025-09-22,5725.0,5725.0,5625.0,5700.0,35106300
2025-09-23,5675.0,5950.0,5650.0,5900.0,41044200
2025-09-24,5950.0,5950.0,5850.0,5900.0,61167600
2025-09-25,5900.0,5900.0,5750.0,5775.0,35805100
2025-09-26,5875.0,6000.0,5775.0,5875.0,42677800
2025-09-29,5875.0,5900.0,5750.0,5775.0,20892700
2025-09-30,5750.0,5825.0,5700.0,5775.0,41266900
2025-10-01,5825.0,5850.0,5650.0,5675.0,26508200
2025-10-02,5750.0,5750.0,5625.0,5700.0,29346300
2025-10-03,5750.0,5850.0,5750.0,5825.0,27951100
2025-10-06,5900.0,5925.0,5800.0,5825.0,21809400
2025-10-07,5925.0,6050.0,5725.0,5750.0,43328700
2025-10-08,5825.0,5875.0,5650.0,5725.0,30080700
2025-10-09,5775.0,5925.0,5750.0,5925.0,27699300
2025-10-10,5925.0,5950.0,5850.0,5900.0,27133800
2025-10-13,5850.0,5925.0,5775.0,5800.0,29034500
2025-10-14,5800.0,6025.0,5800.0,5825.0,53096200
2025-10-15,5950.0,5950.0,5750.0,5775.0,96604500
2025-10-16,5850.0,5850.0,5750.0,5750.0,15044500
2025-10-17,5725.0,5800.0,5575.0,5625.0,31793700
2025-10-20,5625.0,5925.0,5625.0,5925.0,29959700
2025-10-21,6000.0,6050.0,5900.0,6000.0,46181700
2025-10-22,6050.0,6300.0,6000.0,6175.0,98615300
2025-10-23,6075.0,6400.0,6075.0,6325.0,60009000
2025-10-24,6375.0,6675.0,6350.0,6575.0,93344500
2025-10-27,6600.0,6725.0,6375.0,6600.0,64262300
2025-10-28,6600.0,6600.0,6275.0,6325.0,37953500
2025-10-29,6250.0,6500.0,6225.0,6475.0,39818900
2025-10-30,6425.0,6450.0,6250.0,6275.0,28976800
2025-10-31,6250.0,6300.0,6125.0,6150.0,64790000
2025-11-03,6150.0,6450.0,6150.0,6350.0,59085000
2025-11-04,6300.0,6375.0,6250.0,6300.0,62249200
2025-11-05,6250.0,6325.0,6175.0,6250.0,43439100
2025-11-06,6300.0,6350.0,6200.0,6325.0,48979900
2025-11-07,6325.0,6450.0,6300.0,6425.0,42960800
2025-11-10,6500.0,6500.0,6400.0,6425.0,45533400
2025-11-11,6550.0,6600.0,6450.0,6525.0,43529600
2025-11-12,6550.0,6575.0,6400.0,6450.0,37083400
2025-11-13,6425.0,6425.0,6350.0,6375.0,21200000
2025-11-14,6375.0,6450.0,6325.0,6400.0,23431700
2025-11-17,6400.0,6500.0,6375.0,6450.0,40681500
2025-11-18,6475.0,6550.0,6400.0,6425.0,27510900
2025-11-19,6425.0,6475.0,6275.0,6400.0,45476700
2025-11-20,6450.0,6500.0,6375.0,6425.0,30547700
2025-11-21,6400.0,6425.0,6325.0,6425.0,43653200
2025-11-24,6500.0,6525.0,6425.0,6475.0,71721700
2025-11-25,6425.0,6475.0,6375.0,6450.0,20954400
2025-11-26,6500.0,6600.0,6425.0,6600.0,29331000
2025-11-27,6600.0,6600.0,6450.0,6575.0,23737100
2025-11-28,6600.0,6600.0,6500.0,6550.0,38378700
2025-12-01,6375.0,6500.0,6325.0,6375.0,38669000
2025-12-02,6575.0,6625.0,6500.0,6625.0,53567600
2025-12-03,6600.0,6650.0,6550.0,6600.0,24386200
2025-12-04,6575.0,6725.0,6550.0,6725.0,38510600
2025-12-05,6725.0,6900.0,6700.0,6700.0,67707300
2025-12-08,6825.0,6825.0,6625.0,6725.0,38776000
2025-12-09,6775.0,6775.0,6450.0,6600.0,38482800
2025-12-10,6700.0,6725.0,6550.0,6625.0,34524000
2025-12-11,6650.0,6675.0,6350.0,6450.0,42116700
2025-12-12,6550.0,6600.0,6425.0,6600.0,28841900
2025-12-15,6725.0,6725.0,6525.0,6600.0,38096700
2025-12-16,6575.0,6600.0,6500.0,6600.0,34723600
2025-12-17,6550.0,6600.0,6500.0,6600.0,32681400
2025-12-18,6600.0,6600.0,6475.0,6500.0,20454400
2025-12-19,6575.0,6575.0,6425.0,6525.0,61201100
2025-12-22,6450.0,6600.0,6450.0,6575.0,30755900
2025-12-23,6500.0,6575.0,6450.0,6500.0,13756700
2025-12-24,6450.0,6675.0,6450.0,6625.0,20273000
2025-12-29,6625.0,6725.0,6600.0,6675.0,20982300
2025-12-30,6675.0,6725.0,6600.0,6700.0,23486000
2026-01-02,6600.0,6800.0,6600.0,6800.0,19569100
2026-01-05,6775.0,6875.0,6675.0,6875.0,30633400
2026-01-06,6875.0,6900.0,6700.0,6900.0,33964700
2026-01-07,6800.0,7075.0,6800.0,7025.0,55249800
2026-01-08,7025.0,7100.0,6975.0,7000.0,30845500
2026-01-09,7000.0,7100.0,6825.0,6875.0,29171000
2026-01-12,6925.0,7000.0,6900.0,7000.0,24915100
2026-01-13,7075.0,7300.0,7025.0,7300.0,65659900
2026-01-14,7200.0,7225.0,7025.0,7125.0,40658400
2026-01-15,7200.0,7200.0,7000.0,7050.0,26410300
2026-01-19,7200.0,7475.0,7175.0,7400.0,51590900
2026-01-20,7350.0,7375.0,7225.0,7275.0,21167100
2026-01-21,6300.0,6800.0,6300.0,6600.0,269454100
2026-01-22,6700.0,6850.0,6625.0,6775.0,70220500
2026-01-23,6800.0,6900.0,6650.0,6825.0,52227800
2026-01-26,6850.0,6875.0,6700.0,6875.0,55468700
2026-01-27,6775.0,6800.0,6225.0,6300.0,145465800
2026-01-28,6200.0,6475.0,5775.0,6175.0,200262500
2026-01-29,6200.0,6475.0,5725.0,6475.0,136295200
2026-01-30,6525.0,6550.0,6300.0,6350.0,101087200
2026-02-02,6350.0,6400.0,6175.0,6275.0,71571500
2026-02-03,6375.0,6800.0,6325.0,6800.0,63526500
2026-02-04,6800.0,6825.0,6625.0,6675.0,58211100
2026-02-05,6725.0,7000.0,6725.0,6950.0,72792600
2026-02-06,6800.0,6800.0,6575.0,6700.0,49547300
