Date,Open,High,Low,Close,Volume
2025-08-19,4090.0,4100.0,4010.0,4040.0,208409700
2025-08-20,4050.0,4150.0,4050.0,4150.0,173260400
2025-08-21,4160.0,4170.0,4090.0,4150.0,112477700
2025-08-22,4170.0,4170.0,4100.0,4100.0,71971500
2025-08-25,4180.0,4270.0,4170.0,4210.0,195322200
2025-08-26,4220.0,4220.0,4170.0,4170.0,267465600
2025-08-27,4130.0,4150.0,4070.0,4130.0,123874000
2025-08-28,4130.0,4150.0,4110.0,4140.0,60838200
2025-08-29,4100.0,4120.0,4020.0,4050.0,217276600
2025-09-01,3930.0,4010.0,3860.0,3980.0,234206100
2025-09-02,3980.0,4050.0,3960.0,3960.0,111856000
2025-09-03,4020.0,4030.0,3950.0,4030.0,112507500
2025-09-04,3980.0,4010.0,3960.0,4000.0,87402700
2025-09-08,4070.0,4070.0,3890.0,3900.0,143993900
2025-09-09,3870.0,3890.0,3750.0,3790.0,327167200
2025-09-10,3820.0,3890.0,3820.0,3880.0,117680500
2025-09-11,4000.0,4120.0,3980.0,4080.0,281910400
2025-09-12,4180.0,4190.0,4110.0,4180.0,235383800
2025-09-15,4200.0,4220.0,4120.0,4140.0,157482000
2025-09-16,4160.0,4170.0,4080.0,4130.0,167511900
2025-09-17,4160.0,4220.0,4120.0,4220.0,245154800
2025-09-18,4270.0,4270.0,4210.0,4250.0,332670300
2025-09-19,4230.0,4250.0,4180.0,4250.0,211373200
2025-09-22,4250.0,4250.0,4110.0,4160.0,157592800
2025-09-23,4120.0,4170.0,4110.0,4140.0,110771700
2025-09-24,4140.0,4170.0,4100.0,4170.0,124591600
2025-09-25,4170.0,4170.0,4050.0,4070.0,129656800
2025-09-26,4050.0,4080.0,4000.0,4040.0,146229200
2025-09-29,4040.0,4040.0,3960.0,3980.0,126611800
2025-09-30,3980.0,3980.0,3900.0,3900.0,217357100
2025-10-01,3860.0,3940.0,3800.0,3810.0,223133600
2025-10-02,3760.0,3790.0,3710.0,3710.0,379620000
2025-10-03,3710.0,3750.0,3680.0,3690.0,214737100
2025-10-06,3700.0,3740.0,3640.0,3660.0,190283900
2025-10-07,3690.0,3720.0,3670.0,3710.0,155933000
2025-10-08,3730.0,3740.0,3670.0,3720.0,148263700
2025-10-09,3690.0,3930.0,3640.0,3860.0,479239500
2025-10-10,3790.0,3790.0,3690.0,3730.0,277252300
2025-10-13,3680.0,3710.0,3660.0,3660.0,181694400
2025-10-14,3640.0,3690.0,3550.0,3550.0,278639100
2025-10-15,3570.0,3590.0,3450.0,3500.0,468733500
2025-10-16,3500.0,3580.0,3480.0,3530.0,227629500
2025-10-17,3530.0,3570.0,3490.0,3500.0,244442400
2025-10-20,3550.0,3730.0,3540.0,3680.0,391510300
2025-10-21,3780.0,3790.0,3710.0,3760.0,293000200
2025-10-22,3790.0,3820.0,3680.0,3700.0,329470700
2025-10-23,3720.0,3820.0,3700.0,3820.0,225902700
2025-10-24,3820.0,3910.0,3820.0,3850.0,313903600
2025-10-27,3880.0,3930.0,3750.0,3860.0,332539600
2025-10-28,3850.0,3860.0,3780.0,3850.0,239026800
2025-10-29,3830.0,3890.0,3790.0,3890.0,215008600
2025-10-30,3900.0,3990.0,3870.0,3910.0,287905300
2025-10-31,3930.0,4020.0,3920.0,3980.0,348755700
2025-11-03,4050.0,4050.0,4010.0,4040.0,163770500
2025-11-04,4030.0,4050.0,3970.0,3970.0,241154700
2025-11-05,3940.0,3990.0,3910.0,3980.0,139859100
2025-11-06,3980.0,4010.0,3950.0,4000.0,130808100
2025-11-07,4000.0,4010.0,3980.0,3980.0,87287600
2025-11-10,4010.0,4020.0,3930.0,3930.0,148552900
2025-11-11,3940.0,3960.0,3860.0,3890.0,179000200
2025-11-12,3890.0,3950.0,3890.0,3900.0,111115400
2025-11-13,3900.0,3910.0,3870.0,3870.0,99373200
2025-11-14,3860.0,3930.0,3860.0,3900.0,100717300
2025-11-17,3880.0,3950.0,3880.0,3940.0,140868100
2025-11-18,3950.0,3990.0,3930.0,3970.0,205257700
2025-11-19,3990.0,4000.0,3970.0,4000.0,107451000
2025-11-20,4020.0,4050.0,3990.0,3990.0,183008400
2025-11-21,3980.0,4000.0,3940.0,3960.0,112666100
2025-11-24,4000.0,4000.0,3940.0,3980.0,262302000
2025-11-25,3980.0,3980.0,3830.0,3830.0,396959100
2025-11-26,3800.0,3830.0,3780.0,3790.0,288419400
2025-11-27,3800.0,3810.0,3720.0,3740.0,283451800
2025-11-28,3710.0,3750.0,3680.0,3680.0,353872800
2025-12-01,3680.0,3730.0,3660.0,3670.0,299669500
2025-12-02,3690.0,3730.0,3670.0,3710.0,277714300
2025-12-03,3690.0,3700.0,3660.0,3660.0,225357100
2025-12-04,3660.0,3690.0,3650.0,3690.0,221121100
2025-12-05,3700.0,3700.0,3650.0,3650.0,156161100
2025-12-08,3680.0,3690.0,3660.0,3670.0,124094700
2025-12-09,3700.0,3700.0,3650.0,3680.0,201089800
2025-12-10,3680.0,3680.0,3650.0,3660.0,172677700
2025-12-11,3680.0,3700.0,3580.0,3620.0,327591200
2025-12-12,3640.0,3640.0,3580.0,3630.0,169747600
2025-12-15,3650.0,3810.0,3630.0,3780.0,312694100
2025-12-16,3800.0,3810.0,3680.0,3690.0,237949900
2025-12-17,3690.0,3780.0,3680.0,3750.0,273544100
